id,countryCode,month,year,regionCode,numberVisitors
drv_265,es,10,2020,10,176971
drv_266,es,9,2020,10,185256
drv_267,es,8,2020,10,430092
drv_268,es,7,2020,10,383013
drv_269,es,6,2020,10,31487
drv_270,es,5,2020,10,0
drv_271,es,4,2020,10,0
drv_272,es,3,2020,10,253718
drv_273,es,2,2020,10,528712
drv_274,es,1,2020,10,433023
drv_275,es,12,2019,10,454520
drv_276,es,11,2019,10,541121
drv_277,es,10,2019,10,870088
drv_278,es,9,2019,10,1011901
drv_279,es,8,2019,10,1270706
drv_280,es,7,2019,10,1243375
drv_281,es,6,2019,10,938591
drv_282,es,5,2019,10,857711
drv_283,es,4,2019,10,826158
drv_284,es,3,2019,10,648462
drv_285,es,2,2019,10,459309
drv_286,es,1,2019,10,413553
drv_287,es,12,2018,10,427830
drv_288,es,11,2018,10,497041
drv_289,es,10,2018,10,861013
drv_290,es,9,2018,10,1005841
drv_291,es,8,2018,10,1175555
drv_292,es,7,2018,10,1132280
drv_293,es,6,2018,10,901232
drv_294,es,5,2018,10,910651
drv_295,es,4,2018,10,769612
drv_296,es,3,2018,10,625460
drv_297,es,2,2018,10,449519
drv_298,es,1,2018,10,450874
drv_299,es,12,2017,10,400590
drv_300,es,11,2017,10,452023
drv_301,es,10,2017,10,812655
drv_302,es,9,2017,10,982638
drv_303,es,8,2017,10,1158902
drv_304,es,7,2017,10,1217502
drv_305,es,6,2017,10,873923
drv_306,es,5,2017,10,918843
drv_307,es,4,2017,10,749885
drv_308,es,3,2017,10,526701
drv_309,es,2,2017,10,429384
drv_310,es,1,2017,10,402914
drv_311,es,12,2016,10,366649
drv_312,es,11,2016,10,377912
drv_313,es,10,2016,10,761381
drv_314,es,9,2016,10,779057
drv_315,es,8,2016,10,1117241
drv_316,es,7,2016,10,1040949
drv_317,es,6,2016,10,729855
drv_318,es,5,2016,10,767289
drv_319,es,4,2016,10,643239
drv_320,es,3,2016,10,480476
drv_321,es,2,2016,10,349586
drv_322,es,1,2016,10,318136
drv_323,es,12,2015,10,320260
drv_324,es,11,2015,10,319290
drv_325,es,10,2015,10,624144
drv_326,es,2,2021,13,31580
drv_327,es,1,2021,13,45559
drv_328,es,12,2020,13,47885
drv_329,es,11,2020,13,32799
drv_330,es,10,2020,13,39575
drv_331,es,9,2020,13,48123
drv_332,es,8,2020,13,60816
drv_333,es,7,2020,13,76239
drv_334,es,6,2020,13,20522
drv_335,es,5,2020,13,0
drv_336,es,4,2020,13,0
drv_337,es,3,2020,13,251590
drv_338,es,2,2020,13,518594
drv_339,es,1,2020,13,611184
drv_340,es,12,2019,13,528787
drv_341,es,11,2019,13,665927
drv_342,es,10,2019,13,742086
drv_343,es,9,2019,13,667799
drv_344,es,8,2019,13,542359
drv_345,es,7,2019,13,626031
drv_346,es,6,2019,13,702026
drv_347,es,5,2019,13,758323
drv_348,es,4,2019,13,640694
drv_349,es,3,2019,13,683364
drv_350,es,2,2019,13,499245
drv_351,es,1,2019,13,584339
drv_352,es,12,2018,13,526753
drv_353,es,11,2018,13,603691
drv_354,es,10,2018,13,709987
drv_355,es,9,2018,13,697128
drv_356,es,8,2018,13,507079
drv_357,es,7,2018,13,619516
drv_358,es,6,2018,13,603147
drv_359,es,5,2018,13,659045
drv_360,es,4,2018,13,631303
drv_361,es,3,2018,13,560178
drv_362,es,2,2018,13,485810
drv_363,es,1,2018,13,536137
drv_364,es,12,2017,13,476155
drv_365,es,11,2017,13,534430
drv_366,es,10,2017,13,628904
drv_367,es,9,2017,13,639120
drv_368,es,8,2017,13,530335
drv_369,es,7,2017,13,579523
drv_370,es,6,2017,13,594801
drv_371,es,5,2017,13,624915
drv_372,es,4,2017,13,672738
drv_373,es,3,2017,13,478054
drv_374,es,2,2017,13,450927
drv_375,es,1,2017,13,489884
drv_376,es,12,2016,13,431820
drv_377,es,11,2016,13,454904
drv_378,es,10,2016,13,584304
drv_379,es,9,2016,13,581127
drv_380,es,8,2016,13,491071
drv_381,es,7,2016,13,514073
drv_382,es,6,2016,13,455275
drv_383,es,5,2016,13,559893
drv_384,es,4,2016,13,600945
drv_385,es,3,2016,13,379512
drv_386,es,2,2016,13,332794
drv_387,es,1,2016,13,397420
drv_388,es,12,2015,13,332461
drv_389,es,11,2015,13,371205
drv_390,es,10,2015,13,562247
