id,countryCode,month,year,lengthStay,numberVisitors,annualAccumulated
lsv_182,es,11,2016,2,1027157,11419230
lsv_183,es,10,2016,2,1278338,10392073
lsv_184,es,9,2016,2,1201103,9113734
lsv_185,es,8,2016,2,982737,7912631
lsv_186,es,7,2016,2,1054498,6929895
lsv_187,es,6,2016,2,1145365,5875397
lsv_188,es,5,2016,2,1470078,4730032
lsv_189,es,4,2016,2,1104601,3259954
lsv_190,es,3,2016,2,836752,2155353
lsv_191,es,2,2016,2,704915,1318601
lsv_192,es,1,2016,2,613686,613686
lsv_193,es,12,2015,2,574067, 
lsv_194,es,11,2015,2,726990, 
lsv_195,es,10,2015,2,959748, 
lsv_196,es,2,2021,3,96462,219742
lsv_197,es,1,2021,3,123280,123280
lsv_198,es,12,2020,3,235765,8242709
lsv_199,es,11,2020,3,160327,8006944
lsv_200,es,10,2020,3,410185,7846617
lsv_201,es,9,2020,3,377943,7436432
lsv_202,es,8,2020,3,922098,7058489
lsv_203,es,7,2020,3,1033302,6136391
lsv_204,es,6,2020,3,76529,5103089
lsv_205,es,5,2020,3,0,5026559
lsv_206,es,4,2020,3,0,5026559
lsv_207,es,3,2020,3,965484,5026559
lsv_208,es,2,2020,3,2244012,4062008
lsv_209,es,1,2020,3,1817996,1817996
lsv_210,es,12,2019,3,1981756,39692993
lsv_211,es,11,2019,3,2168877,37711237
lsv_212,es,10,2019,3,3644592,35542360
lsv_213,es,9,2019,3,4201380,31897768
lsv_214,es,8,2019,3,4378913,27696388
lsv_215,es,7,2019,3,4479899,23317475
lsv_216,es,6,2019,3,4317400,18837576
lsv_217,es,5,2019,3,4056597,14520177
lsv_218,es,4,2019,3,3809356,10463580
lsv_219,es,3,2019,3,2741769,6654224
lsv_220,es,2,2019,3,2112962,3912455
lsv_221,es,1,2019,3,1799493,1799493
lsv_222,es,12,2018,3,1932420,38786818
lsv_223,es,11,2018,3,2106850,36854398
lsv_224,es,10,2018,3,3721695,34747548
lsv_225,es,9,2018,3,4130186,31025853
lsv_226,es,8,2018,3,4229649,26895667
lsv_227,es,7,2018,3,4415753,22666019
lsv_228,es,6,2018,3,4240196,18250266
lsv_229,es,5,2018,3,4082532,14010070
lsv_230,es,4,2018,3,3457726,9927538
lsv_231,es,3,2018,3,2714604,6469812
lsv_232,es,2,2018,3,2005018,3755208
